Bottle Number:0
12/20/2017 10:04:17 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,14819.0945029,-8060.21745774
1094.889,14700.2555917,-7461.7293949
1198.782,14590.7128057,-6917.94752967
1312.533,14489.8848887,-6417.76742211
1437.078,14396.9844249,-5955.60366381
1573.441,14311.0656992,-5528.05635344
1722.743,14231.6526638,-5133.12846081
1886.212,14158.1593901,-4767.85756074
2065.193,14089.5501784,-4430.19815117
2261.157,14025.6810635,-4118.8236722
2475.716,13965.3822872,-3831.43090993
2710.634,13908.1764229,-3566.78700639
2967.843,13853.8974835,-3323.41716787
3249.459,13801.7717542,-3099.7897932
3557.796,13751.6755569,-2894.21331745
3895.392,13703.018311,-2705.35610949
4265.022,13655.3037575,-2532.21703208
4669.725,13608.4502222,-2373.47179742
5112.831,13562.0773467,-2227.62559911
5597.982,13515.8666328,-2093.42658253
6129.169,13469.8077166,-1969.92836544
6710.759,13424.0372367,-1855.98920739
7347.536,13378.201925,-1750.87352238
8044.736,13332.6301249,-1653.2621658
8808.093,13286.9779622,-1562.12133465
9643.884,13241.828345,-1476.78309369
10558.982,13197.0975567,-1396.83877005
11560.913,13153.2531404,-1321.34854716
12657.916,13110.2811313,-1250.14110563
13859.012,13068.5952758,-1182.44148423
15174.08,13028.4038866,-1118.14859168
16613.932,12989.6823205,-1056.88637529
18190.411,12952.7178096,-998.481940799
19916.481,12917.7169039,-942.836708395
21806.335,12884.5229788,-890.273749707
23875.515,12853.362266,-840.066031118
26141.038,12824.2247348,-792.502667361
28621.534,12797.0307284,-747.577922909
31337.402,12771.6999833,-705.005443996
34310.976,12748.2279085,-665.047118023
37566.709,12726.5072797,-627.419318168
41131.375,12706.5835502,-592.161821095
45034.289,12688.0037808,-559.381851303
49307.546,12670.9272394,-528.975904084
53986.288,12655.2112555,-500.76286612
59108.991,12640.7268982,-474.846795339
64717.782,12627.4174151,-451.072118705
70858.785,12615.1928391,-429.485603322
77582.502,12603.8764753,-410.089175324
84944.225,12593.4330555,-392.630124924
93004.495,12584.0740427,-377.211998024
101829.595,12574.9509281,-364.192583208
111492.1,12566.8075719,-353.016955059
122071.47,12559.1263554,-343.65992557
133654.705,12551.9687271,-336.43217989
146337.062,12545.5026729,-331.113175851
160222.834,12539.2747696,-327.695844219
175426.213,12533.4256738,-326.402933049
192072.225,12527.9283883,-327.095916354
210297.759,12522.6527867,-329.786282531
230252.696,12517.6463751,-334.609653124
252101.136,12512.8249444,-341.789930464
276022.752,12508.2430948,-351.157207016
302214.266,12503.68522,-362.958874769
330891.064,12499.1611709,-377.362007166
362288.975,12494.8839488,-394.291837074
396666.201,12490.5510442,-414.39175504
434305.446,12485.9784538,-437.314921745
475516.241,12481.4666043,-463.578019894
520637.485,12476.9347551,-493.537713482
570040.237,12472.5070995,-527.379532343
624130.765,12467.1733116,-564.987013873
683353.887,12461.4195596,-606.911253612
748196.631,12454.5626818,-653.046974647
819192.234,12446.9553018,-703.939738722
896924.538,12438.1181908,-760.150398266
982032.779,12426.9358421,-822.429339527
1075216.853,12415.9302821,-892.00888867
1177243.068,12401.5037074,-966.838289453
1288950.444,12387.3571464,-1050.45541718
1411257.618,12368.6025065,-1141.44662142
1545170.393,12343.064937,-1241.0119034
1691790.012,12322.5669265,-1353.42988245
1852322.216,12288.094671,-1466.4987406
2028087.154,12251.6726467,-1594.71369326
2220530.245,12213.6582648,-1742.9688901
2431234.062,12164.8692392,-1891.465065
2661931.346,12111.4659095,-2059.37825584
2914519.257,12036.5977543,-2240.13956909
3191074.973,11956.6990255,-2427.1573185
3493872.775,11855.5241883,-2629.89887734
3825402.747,11741.4246753,-2852.32155644
4188391.254,11604.9483313,-3080.57109263
4585823.366,11454.5394619,-3324.3639769
5020967.4,11277.8361346,-3569.3326204
5497401.8,11065.8191869,-3837.43176872
6019044.568,10830.1077306,-4096.18986545
6590185.478,10560.0062983,-4368.57398757
7215521.358,10258.7091386,-4630.77850775
7900194.712,9920.45718404,-4888.83752739
8649836.013,9545.00496159,-5129.16799741
9470610.001,9134.49725738,-5357.84637749
10369266.383,8690.72855812,-5560.06413356
11353195.339,8210.98775218,-5732.34949888
12430488.296,7713.24124595,-5863.8414853
13610004.466,7195.34231874,-5959.83639906
14901443.705,6665.38824038,-6009.60879161
16315426.277,6368.01862198,-5995.66676449
17863580.192,5842.33775996,-5975.94617364
19558636.83,5327.74872572,-5919.93026366
21414535.639,4799.43887642,-5824.04022533
23446538.764,4320.22508814,-5674.17345107
25671356.563,3826.42493602,-5494.40811546
28107285.021,3420.41381828,-5277.53013612
30774356.209,3003.19488136,-5038.21295604
33694503.022,2630.94611807,-4839.36271049
36891739.544,2290.75683056,-4500.81585698
40392358.532,2027.61497717,-4238.28036399
44225147.632,1784.21492936,-3985.74805324
48421626.123,1554.2226409,-3732.7012075
53016304.116,1355.05684166,-3484.92127733
58046966.348,1175.87182433,-3242.53828639
63554982.914,1016.96695445,-3010.84512142
69585649.471,878.874059539,-2784.67529118
76188559.737,757.128488161,-2570.92785766
83418013.325,648.744084289,-2366.15898406
91333462.282,553.05438305,-2173.46659318
