Bottle Number:0
12/13/2017 10:08:43 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,19293.078153,-6253.31863475
1094.889,19223.9054757,-5799.45545382
1198.782,19157.3379339,-5385.37802543
1312.533,19092.8490765,-5006.79932295
1437.078,19029.5217519,-4660.24034338
1573.441,18966.9265465,-4343.32776024
1722.743,18905.2964148,-4053.42208497
1886.212,18843.5408463,-3787.85671035
2065.193,18781.7507023,-3544.54140572
2261.157,18720.0976262,-3321.24572359
2475.716,18657.3663384,-3115.89915488
2710.634,18594.2413493,-2927.09132404
2967.843,18530.8187825,-2752.96060323
3249.459,18467.3025912,-2591.48243292
3557.796,18403.630987,-2441.36693015
3895.392,18340.3384725,-2301.63929257
4265.022,18277.7813215,-2170.74436519
4669.725,18215.7731326,-2048.30859232
5112.831,18155.0947462,-1932.87415054
5597.982,18095.8397447,-1823.71144355
6129.169,18038.5506398,-1720.62745777
6710.759,17983.3024352,-1623.1562639
7347.536,17930.6433279,-1530.80877637
8044.736,17880.2905161,-1443.3037635
8808.093,17832.2671407,-1360.12746342
9643.884,17786.9661193,-1281.44258773
10558.982,17744.574899,-1207.03948583
11560.913,17704.6384137,-1136.74912649
12657.916,17667.2307608,-1070.43575373
13859.012,17632.4114588,-1007.95085813
15174.08,17599.9259391,-949.350304772
16613.932,17569.6967189,-894.038765693
18190.411,17541.5687298,-842.37594022
19916.481,17515.3305072,-794.138451242
21806.335,17490.9931092,-749.381564575
23875.515,17468.2278086,-707.792682243
26141.038,17447.4650855,-669.380859972
28621.534,17427.7499138,-633.738553099
31337.402,17409.5715292,-601.016761248
34310.976,17392.5023537,-570.92381916
37566.709,17376.5863933,-543.386168403
41131.375,17361.7526772,-518.564638295
45034.289,17347.9718359,-496.033054915
49307.546,17334.9591692,-476.194858423
53986.288,17322.6872502,-458.419547342
59108.991,17311.284864,-443.193044534
64717.782,17300.601893,-429.911349436
70858.785,17290.5493565,-418.925002489
77582.502,17281.0116889,-410.317055878
84944.225,17271.8875772,-404.072744925
93004.495,17263.4797486,-399.746780406
101829.595,17255.6452481,-398.155926979
111492.1,17247.986501,-398.729680717
122071.47,17240.8064657,-401.83293822
133654.705,17233.8135721,-407.404296734
146337.062,17227.0940756,-415.250673884
160222.834,17220.7642814,-426.017987947
175426.213,17214.4556652,-439.473318209
192072.225,17208.3605342,-456.023699146
210297.759,17202.1296764,-475.457485203
230252.696,17196.0984349,-498.030862917
252101.136,17189.9968777,-524.507243609
276022.752,17183.5237416,-554.488176322
302214.266,17176.7700006,-588.707153341
330891.064,17169.9149349,-627.124182502
362288.975,17162.4793887,-670.133958231
396666.201,17154.6014982,-718.319274096
434305.446,17145.9044818,-771.756269711
475516.241,17136.1854414,-830.74584875
520637.485,17126.1149297,-896.541173683
570040.237,17115.3878373,-968.966760552
624130.765,17101.8276077,-1049.02926019
683353.887,17086.7878001,-1135.94329706
748196.631,17068.4879128,-1231.64184949
819192.234,17047.8802105,-1335.06600788
896924.538,17023.640336,-1448.63917056
982032.779,16994.1624106,-1573.48403005
1075216.853,16962.6594805,-1710.03560052
1177243.068,16923.21747,-1857.42740228
1288950.444,16881.0498804,-2018.78707658
1411257.618,16828.8533839,-2193.63916091
1545170.393,16764.5726001,-2387.211698
1691790.012,16702.1339644,-2587.24702968
1852322.216,16609.9410635,-2809.39101208
2028087.154,16515.9375563,-3042.86338724
2220530.245,16404.3438205,-3300.73002794
2431234.062,16279.6194332,-3585.10812624
2661931.346,16112.4323139,-3882.09879734
2914519.257,15936.339406,-4181.28748689
3191074.973,15726.4943902,-4504.39382024
3493872.775,15485.2795914,-4833.90839349
3825402.747,15206.3244993,-5187.84621133
4188391.254,14884.6919022,-5545.66364046
4585823.366,14525.8270559,-5896.75206545
5020967.4,14129.1221573,-6258.89351752
5497401.8,13677.7072571,-6606.94631744
6019044.568,13171.9739913,-6943.41041303
6590185.478,12629.7455403,-7248.42832579
7215521.358,12044.1634586,-7534.82662975
7900194.712,11397.1988946,-7769.74364836
8649836.013,10733.6751786,-7963.57148284
9470610.001,10034.4803785,-8100.99145159
10369266.383,9317.63940308,-8185.24796715
11353195.339,8596.07633635,-8206.05083006
12430488.296,7869.47028458,-8167.54572013
13610004.466,7160.44056745,-8070.31043976
14901443.705,6476.05033486,-7915.18277803
16315426.277,6116.66844187,-7787.2748852
17863580.192,5480.30780836,-7566.17803495
19558636.83,4892.99895787,-7312.72992459
21414535.639,4317.78844151,-7029.73672149
23446538.764,3809.84839249,-6704.53292916
25671356.563,3320.17995816,-6365.22112162
28107285.021,2916.94837256,-6008.47942764
30774356.209,2525.08093305,-5643.95867425
33694503.022,2195.35934599,-5326.03833806
36891739.544,1873.34896241,-4907.73367341
40392358.532,1652.42262507,-4572.03593078
44225147.632,1438.70175886,-4255.96797975
48421626.123,1243.08091663,-3944.45244405
53016304.116,1077.69108282,-3651.76424549
58046966.348,929.823277966,-3373.60350748
63554982.914,800.08732896,-3109.58564414
69585649.471,688.55335216,-2859.90493933
76188559.737,590.728274281,-2624.72802395
83418013.325,504.156722868,-2404.152441
91333462.282,429.107907547,-2196.8596079
