Bottle Number:0
12/13/2017 1:38:48 PM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,19191.5266723,-5509.12071992
1094.889,19120.3337527,-5121.73992185
1198.782,19051.3959606,-4767.34772655
1312.533,18984.2671036,-4442.98796426
1437.078,18918.2618614,-4145.49875385
1573.441,18852.9068027,-3873.00208859
1722.743,18788.187464,-3623.40564964
1886.212,18723.8294188,-3393.89208056
2065.193,18659.295605,-3183.25296817
2261.157,18595.3766673,-2989.23424934
2475.716,18530.7575013,-2809.92385841
2710.634,18466.0823874,-2644.50426701
2967.843,18401.675852,-2490.7377812
3249.459,18337.6199567,-2347.70469056
3557.796,18274.0475707,-2213.93617664
3895.392,18211.3412499,-2088.65531948
4265.022,18149.9592512,-1970.70757073
4669.725,18089.9093671,-1859.66071354
5112.831,18031.4379234,-1754.74594165
5597.982,17975.0509026,-1655.00624932
6129.169,17920.9131912,-1560.40421116
6710.759,17869.2689056,-1471.04551477
7347.536,17820.3054665,-1386.2011465
8044.736,17773.9475651,-1305.6180658
8808.093,17730.2513257,-1229.14142681
9643.884,17689.3675314,-1156.66591174
10558.982,17650.9606165,-1088.22624535
11560.913,17615.1360896,-1023.64431226
12657.916,17582.1007299,-962.735937738
13859.012,17551.2579192,-905.61651948
15174.08,17522.6159443,-851.973923112
16613.932,17496.1371445,-801.373518767
18190.411,17471.6767205,-754.423057317
19916.481,17449.0273215,-710.369083161
21806.335,17428.0553877,-669.810661752
23875.515,17408.7359878,-632.318660122
26141.038,17390.6074031,-597.423565291
28621.534,17373.9403288,-565.417418756
31337.402,17358.6215019,-536.074577512
34310.976,17344.3233407,-509.300013035
37566.709,17331.0623812,-484.839693703
41131.375,17318.8176463,-462.946876968
45034.289,17307.3470608,-443.251783872
49307.546,17296.7004428,-425.932918501
53986.288,17286.7230331,-410.881818463
59108.991,17277.3203411,-397.985364958
64717.782,17268.7792193,-387.262356193
70858.785,17260.5489695,-378.518223675
77582.502,17252.9163319,-372.204624012
84944.225,17245.7710121,-367.800078285
93004.495,17238.850623,-365.895144438
101829.595,17232.5113825,-366.179491728
111492.1,17226.6312369,-368.816810389
122071.47,17220.6607435,-373.794212063
133654.705,17214.988473,-380.989880388
146337.062,17209.4848232,-391.006120116
160222.834,17204.2881419,-403.260391779
175426.213,17199.1259364,-418.521641608
192072.225,17194.027542,-436.484991917
210297.759,17188.5777703,-457.813195434
230252.696,17183.1818826,-481.976586227
252101.136,17177.6989721,-509.970650474
276022.752,17171.8982301,-541.368187191
302214.266,17165.8796431,-576.996460134
330891.064,17159.3200955,-616.785586301
362288.975,17152.2731151,-661.089409846
396666.201,17144.6063229,-710.646669681
434305.446,17136.0623929,-765.057107254
475516.241,17126.6841989,-825.427859237
520637.485,17116.6593786,-892.443901872
570040.237,17105.7483829,-965.966343316
624130.765,17092.1770203,-1046.89205078
683353.887,17076.8861419,-1134.8375391
748196.631,17058.3186988,-1231.22255234
819192.234,17037.4598586,-1335.79355057
896924.538,17013.0348775,-1450.00830226
982032.779,16983.0185387,-1575.64674395
1075216.853,16950.7686954,-1713.06643868
1177243.068,16910.8153366,-1860.83999896
1288950.444,16868.0413139,-2022.65132786
1411257.618,16815.0846554,-2198.09416145
1545170.393,16747.5613166,-2387.84441994
1691790.012,16677.8861257,-2598.56292616
1852322.216,16590.6749159,-2815.40245411
2028087.154,16498.721379,-3055.80492934
2220530.245,16389.4458873,-3312.70027576
2431234.062,16262.4186503,-3582.51531808
2661931.346,16101.9077957,-3873.12562029
2914519.257,15914.6188111,-4186.86560178
3191074.973,15700.6621035,-4507.26435725
3493872.775,15468.0508435,-4837.84121981
3825402.747,15181.9180939,-5189.56476663
4188391.254,14858.0169985,-5546.05157498
4585823.366,14508.2511656,-5895.82272661
5020967.4,14103.6845645,-6260.84767639
5497401.8,13654.7006914,-6594.46644173
6019044.568,13150.7293722,-6933.26610267
6590185.478,12608.2737074,-7240.96000616
7215521.358,12013.353181,-7517.86670058
7900194.712,11380.293383,-7750.73888246
8649836.013,10710.4030772,-7947.03260805
9470610.001,10019.4648293,-8087.50581745
10369266.383,9304.77116836,-8166.1583354
11353195.339,8582.39547337,-8192.07624611
12430488.296,7864.30045592,-8150.31070176
13610004.466,7155.16093464,-8050.74869781
14901443.705,6474.31719168,-7899.6850909
16315426.277,6117.41254147,-7769.08322576
17863580.192,5481.68370055,-7553.86283279
19558636.83,4896.33955872,-7302.64541471
21414535.639,4315.16826148,-7019.44024728
23446538.764,3814.38841057,-6693.69038658
25671356.563,3322.24823779,-6361.74781729
28107285.021,2918.4682805,-5994.34159307
30774356.209,2523.36732542,-5637.21508613
33694503.022,2196.50838677,-5323.26982619
36891739.544,1873.97095999,-4901.08943811
40392358.532,1658.42971955,-4566.67287369
44225147.632,1441.34453187,-4253.98830233
48421626.123,1244.11765397,-3942.79907474
53016304.116,1079.22759432,-3649.90103164
58046966.348,931.631997246,-3371.61072051
63554982.914,802.113370388,-3108.36551126
69585649.471,689.9224225,-2859.36494755
76188559.737,592.135940129,-2624.6879131
83418013.325,505.785289527,-2403.45891986
91333462.282,429.706327574,-2196.68679913
